dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
AluminiumConcentration,1.0,2.0,4.0,3.0,6.0,5.0
AppliancesEnergy,4.0,1.0,5.0,2.0,6.0,3.0
BarCrawl6min,1.0,6.0,5.0,3.0,4.0,2.0
BeijingIntAirportPM25Quality,3.0,6.0,2.0,4.0,5.0,1.0
BeijingPM10Quality,3.0,6.0,1.0,5.0,2.0,4.0
BeijingPM25Quality,3.0,6.0,1.0,5.0,2.0,4.0
BinanceCoinSentiment,4.0,1.0,5.0,2.0,6.0,3.0
BitcoinSentiment,4.0,1.0,5.0,2.0,6.0,3.0
BoronConcentration,4.0,2.0,5.0,3.0,6.0,1.0
CalciumConcentration,6.0,5.0,4.0,2.0,3.0,1.0
CardanoSentiment,3.0,1.0,5.0,2.0,6.0,4.0
ChilledWaterPredictor,3.0,1.0,5.0,2.0,6.0,4.0
CopperConcentration,2.0,1.0,5.0,3.0,6.0,4.0
Covid19Andalusia,2.0,6.0,4.0,3.0,5.0,1.0
Covid3Month,4.0,3.0,5.0,2.0,6.0,1.0
DailyOilGasPrices,1.0,6.0,2.0,4.0,3.0,5.0
DhakaHourlyAirQuality,1.0,6.0,2.0,5.0,3.0,4.0
ElectricityPredictor,6.0,1.0,4.0,2.0,5.0,3.0
EthereumSentiment,4.0,1.0,5.0,2.0,6.0,3.0
FloodModeling1,3.0,6.0,1.0,5.0,2.0,4.0
FloodModeling2,1.0,6.0,5.0,2.0,4.0,3.0
FloodModeling3,3.0,6.0,1.0,5.0,2.0,4.0
GasSensorArrayAcetone,1.0,2.0,4.0,3.0,6.0,5.0
GasSensorArrayEthanol,2.0,1.0,5.0,3.0,6.0,4.0
HotwaterPredictor,6.0,1.0,5.0,2.0,4.0,3.0
IronConcentration,3.0,1.0,5.0,2.0,6.0,4.0
LPGasMonitoringHomeActivity,4.0,1.0,5.0,2.0,6.0,3.0
ManganeseConcentration,2.0,1.0,5.0,3.0,6.0,4.0
MethaneMonitoringHomeActivity,4.0,1.0,5.0,2.0,6.0,3.0
MetroInterstateTrafficVolume,4.0,1.0,5.0,2.0,6.0,3.0
NaturalGasPricesSentiment,3.0,5.0,4.0,1.0,6.0,2.0
OccupancyDetectionLight,3.0,6.0,1.0,5.0,2.0,4.0
SierraNevadaMountainsSnow,3.0,6.0,1.0,5.0,2.0,4.0
SodiumConcentration,4.0,1.0,5.0,2.0,6.0,3.0
SteamPredictor,1.0,2.0,5.0,3.0,6.0,4.0
SulphurConcentration,4.0,1.0,6.0,2.0,5.0,3.0
WaveDataTension,5.0,1.0,4.0,2.0,6.0,3.0
WindTurbinePower,5.0,6.0,2.0,4.0,1.0,3.0
ZincConcentration,6.0,2.0,5.0,3.0,4.0,1.0
